Lugar;Espacialidade;COD IBGE;% da população em domicílios com água encanada (2010);% da população em domicílios com banheiro e água encanada (2010);% da população em domicílios com coleta de lixo (2010);% da população em domicílios com energia elétrica (2010);% da população em domicílios com densidade > 2 (2010)
Rio Manso (MG);Município;315530;87,92;96,96;97,8;99,95;11,23
Rio Novo (MG);Município;315540;98,64;98,88;95,94;98,91;20,37
Rio Paranaíba (MG);Município;315550;89,35;97,73;99,05;99,45;10,03
Rio Pardo de Minas (MG);Município;315560;78,72;64,93;94,91;92,97;17,71
Rio Piracicaba (MG);Município;315570;95,46;99,24;98,12;99,82;16,27
Rio Pomba (MG);Município;315580;97,48;99,78;99,85;99,85;13,01
Rio Preto (MG);Município;315590;90,4;97,37;98,91;96,52;19,68
Rio Vermelho (MG);Município;315600;66,71;70,33;82,11;91,24;22,22
Ritápolis (MG);Município;315610;80,89;99,24;97,49;99,61;7,7
Rochedo de Minas (MG);Município;315620;87,62;100;97,41;99,58;12,77
Rodeiro (MG);Município;315630;98,14;99,33;99,75;99,96;15,67
Romaria (MG);Município;315640;96,83;99,76;99,13;100;17,57
Rosário da Limeira (MG);Município;315645;88,45;99,45;100;100;12,2
Rubelita (MG);Município;315650;65,68;55,32;91,72;94,15;21,37
Rubim (MG);Município;315660;88,15;82,8;92,84;96,63;22,63
Sabará (MG);Município;315670;97,28;96,71;96,05;99,91;27,66
Sabinópolis (MG);Município;315680;87,71;76,01;92,67;93,45;20,85
Sacramento (MG);Município;315690;95,43;99,46;99,87;99,21;14,94
Salinas (MG);Município;315700;84,53;88,9;95,69;98,25;18,08
Salto da Divisa (MG);Município;315710;86,36;88,44;90,16;95,58;28,77
Santa Bárbara (MG);Município;315720;93,93;97,41;97,27;99,97;21,45
Santa Bárbara do Leste (MG);Município;315725;84,78;98,13;98,34;99,92;18,19
Santa Bárbara do Monte Verde (MG);Município;315727;92,69;98,16;98,29;98,96;15,56
Santa Bárbara do Tugúrio (MG);Município;315730;76,53;96,42;97,44;99,6;10,44
Santa Cruz de Minas (MG);Município;315733;99,37;99,36;100;99,92;19,47
Santa Cruz de Salinas (MG);Município;315737;76,56;47,72;98,65;90,4;13,53
Santa Cruz do Escalvado (MG);Município;315740;95,16;95,84;94,51;99,86;14,04
Santa Efigênia de Minas (MG);Município;315750;85,26;79,75;81,4;99,88;20,43
Santa Fé de Minas (MG);Município;315760;71,09;64;43,98;89,95;26,77
Santa Helena de Minas (MG);Município;315765;73,79;68,06;96,39;96,65;33,07
Santa Juliana (MG);Município;315770;97,76;98,77;99,29;99,41;16,06
Santa Luzia (MG);Município;315780;98,74;95,81;97,18;99,86;27,47
Santa Margarida (MG);Município;315790;88,88;94,76;98,98;99,97;18,75
Santa Maria de Itabira (MG);Município;315800;76,46;88,6;95,11;98,73;22,22
Santa Maria do Salto (MG);Município;315810;87,97;83,37;95,03;95,09;19,24
Santa Maria do Suaçuí (MG);Município;315820;90,75;82,32;75,61;98,07;26,13
Santana da Vargem (MG);Município;315830;95,73;99,22;97,29;100;16,67
Santana de Cataguases (MG);Município;315840;94,88;98,79;100;99,78;15,16
Santana de Pirapama (MG);Município;315850;74,33;85,03;97;99,49;19,03
Santana do Deserto (MG);Município;315860;97,35;98,93;98,94;99,44;24,41
Santana do Garambéu (MG);Município;315870;86,19;97,85;95,2;99,59;14,53
Santana do Jacaré (MG);Município;315880;99,14;99,87;99,86;99,87;16,65
Santana do Manhuaçu (MG);Município;315890;79,21;98,37;98,13;99,34;17,59
Santana do Paraíso (MG);Município;315895;96,72;96,16;97,41;99,57;20,7
Santana do Riacho (MG);Município;315900;78,32;98,18;95,26;99,65;20,45
Santana dos Montes (MG);Município;315910;81,75;95,98;90,44;99,61;17,63
Santa Rita de Caldas (MG);Município;315920;88,05;99,94;98,13;99,9;8,91
Santa Rita de Ibitipoca (MG);Município;315940;77,85;94,78;96,56;97,44;12,94
Santa Rita de Jacutinga (MG);Município;315930;91,76;96,96;93,01;98,96;14,29
Santa Rita de Minas (MG);Município;315935;92,23;98,49;97,72;99,76;18,64
Santa Rita do Itueto (MG);Município;315950;84,16;97,51;94,19;98,62;17,67
Santa Rita do Sapucaí (MG);Município;315960;96,81;99,3;99,6;99,97;17,32
Santa Rosa da Serra (MG);Município;315970;97,18;98,96;99,53;98,66;14,81
Santa Vitória (MG);Município;315980;95,31;97,64;99,13;99,71;11,94
Santo Antônio do Amparo (MG);Município;315990;91,96;97,64;98,87;99,6;16,91
Santo Antônio do Aventureiro (MG);Município;316000;94,77;100;92,33;99,84;13,91
Santo Antônio do Grama (MG);Município;316010;99,43;99,58;98,39;100;15,11
Santo Antônio do Itambé (MG);Município;316020;75,44;60,6;97,63;92,55;26,82
Santo Antônio do Jacinto (MG);Município;316030;80,92;71,3;87,36;94,88;22,07
Santo Antônio do Monte (MG);Município;316040;97,83;99,63;99,77;99,88;7,52
Santo Antônio do Retiro (MG);Município;316045;62,35;69,2;95,78;94,71;21,78
Santo Antônio do Rio Abaixo (MG);Município;316050;76,69;94,69;96,29;99,55;10,72
Santo Hipólito (MG);Município;316060;81,56;87,49;77,9;99,11;20,46
Santos Dumont (MG);Município;316070;93,04;96,93;98,66;99,97;19,55
São Bento Abade (MG);Município;316080;97,72;99,91;100;99,32;25,37
São Brás do Suaçuí (MG);Município;316090;97,19;56,22;96,25;100;18,44
São Domingos das Dores (MG);Município;316095;86,61;100;100;99,8;18,11
São Domingos do Prata (MG);Município;316100;86,02;97,78;97,18;99,84;17,08
São Félix de Minas (MG);Município;316105;92,97;92,13;95,47;99,19;18,18
São Francisco (MG);Município;316110;76,42;75,77;91,88;97,83;31,62
São Francisco de Paula (MG);Município;316120;93,07;97,66;97,35;99,69;9,75
São Francisco de Sales (MG);Município;316130;94,37;88,16;99,86;99,79;10,08
São Francisco do Glória (MG);Município;316140;88,85;99,01;98,41;99,58;15,88
São Geraldo (MG);Município;316150;94,6;99,53;99,26;99,65;16,62
São Geraldo da Piedade (MG);Município;316160;90,88;91,44;79,07;100;25,48
São Geraldo do Baixio (MG);Município;316165;92,66;97,97;91,24;99,45;12,7
São Gonçalo do Abaeté (MG);Município;316170;91,75;94,66;97,5;97,14;19,48
São Gonçalo do Pará (MG);Município;316180;97,63;99,2;98,05;99,45;12,81
São Gonçalo do Rio Abaixo (MG);Município;316190;91,39;97,82;100;99,4;20,75
São Gonçalo do Rio Preto (MG);Município;312550;71,23;94,97;89,81;99,81;15,58
São Gonçalo do Sapucaí (MG);Município;316200;92,61;93,62;99,65;99,95;17,2
São Gotardo (MG);Município;316210;97,86;96,93;98,59;99,79;14,92
São João Batista do Glória (MG);Município;316220;99,25;99,9;99,77;99,79;8,51
São João da Lagoa (MG);Município;316225;69,42;78,69;88,97;95,48;22,64
São João da Mata (MG);Município;316230;86,38;97,92;100;99,52;12,8
São João da Ponte (MG);Município;316240;90,42;65,8;58,18;98,83;35,71
São João das Missões (MG);Município;316245;56,99;43,7;85,48;83,16;45,48
São João Del Rei (MG);Município;316250;98,18;98,19;98,85;99,78;12,34
São João do Manhuaçu (MG);Município;316255;84,08;99,33;97,77;99,87;16,87
São João do Manteninha (MG);Município;316257;93,72;98,28;97,15;99,66;12,25
São João do Oriente (MG);Município;316260;98,81;99,27;97,01;99,9;15,08
São João do Pacuí (MG);Município;316265;77,06;58,16;68,27;98,95;25,26
São João do Paraíso (MG);Município;316270;82,31;72,54;99,58;98,75;17,17
São João Evangelista (MG);Município;316280;91,9;85,63;94,5;98,79;20,8
São João Nepomuceno (MG);Município;316290;95,98;99,96;99,83;99,96;15,48
São Joaquim de Bicas (MG);Município;316292;94,01;91,44;94,37;99,4;31
São José da Barra (MG);Município;316294;89,55;99,3;99,85;100;15,79
São José da Lapa (MG);Município;316295;98,51;98,02;100;99,91;24,95
São José da Safira (MG);Município;316300;89,68;80,21;88,37;98,74;27,77
São José da Varginha (MG);Município;316310;94,33;97,7;99,25;99,53;17,71
São José do Alegre (MG);Município;316320;92,59;100;100;99,92;14,74
São José do Divino (MG);Município;316330;92,01;91,93;93,85;99,28;19,26
São José do Goiabal (MG);Município;316340;87,93;96,25;97,81;98,3;14,51
São José do Jacuri (MG);Município;316350;76,69;80,5;96,76;97,23;27,78
São José do Mantimento (MG);Município;316360;78,43;98,57;100;100;19,26
São Lourenço (MG);Município;316370;99,39;99,57;99,07;99,98;19,83
São Miguel do Anta (MG);Município;316380;91,3;99,32;97,86;99,91;12,78
São Pedro da União (MG);Município;316390;87,64;99,36;99,35;100;12,02
São Pedro dos Ferros (MG);Município;316400;98,62;97,92;99,23;99,06;22,55
São Pedro do Suaçuí (MG);Município;316410;84,27;79,42;88,87;97,8;18,29
São Romão (MG);Município;316420;76,27;78,14;87,39;91,24;40,65
São Roque de Minas (MG);Município;316430;85,76;95,9;99,79;97,31;11,26
São Sebastião da Bela Vista (MG);Município;316440;88,47;99,19;99,61;99,96;17,34
São Sebastião da Vargem Alegre (MG);Município;316443;88,95;99,36;97,26;100;8,25
São Sebastião do Anta (MG);Município;316447;93,81;99,5;97,9;99,11;21,36
São Sebastião do Maranhão (MG);Município;316450;80,99;65,02;76,09;94,88;27,34
São Sebastião do Oeste (MG);Município;316460;95,17;81,1;97,3;99,92;12,77
São Sebastião do Paraíso (MG);Município;316470;98,75;99,72;99,71;99,59;15,83
São Sebastião do Rio Preto (MG);Município;316480;76,7;89,98;90,79;98,79;15,35
São Sebastião do Rio Verde (MG);Município;316490;81,67;99,61;100;99,26;17,27
São Thomé das Letras (MG);Município;316520;84,51;98,07;100;98,36;24,72
São Tiago (MG);Município;316500;94,4;96,74;99,37;99,71;11,15
São Tomás de Aquino (MG);Município;316510;95,81;99,6;99,75;99,86;18,15
São Vicente de Minas (MG);Município;316530;99,32;99,49;100;100;27,42
Sapucaí-Mirim (MG);Município;316540;78,59;99,23;100;99,93;23,49
Sardoá (MG);Município;316550;91,62;86,39;94,78;99;19,63
Sarzedo (MG);Município;316553;97,29;98,51;99,41;100;21,77
Sem-Peixe (MG);Município;316556;80,22;95,95;88,99;99,45;11,74
Senador Amaral (MG);Município;316557;82,57;97,24;100;99,88;25,6
Senador Cortes (MG);Município;316560;95,72;99,9;100;100;18,99
Senador Firmino (MG);Município;316570;93,23;99,78;99,54;99,76;11,22
Senador José Bento (MG);Município;316580;78,38;98,96;98,72;99,71;5,92
Senador Modestino Gonçalves (MG);Município;316590;80,58;78,2;98,58;96;27,42
Senhora de Oliveira (MG);Município;316600;91,69;93,15;99,22;99,78;13,25
Senhora do Porto (MG);Município;316610;83,83;83,5;77,12;97,11;21,47
Senhora dos Remédios (MG);Município;316620;82,3;98,55;96,96;99,29;11,56
Sericita (MG);Município;316630;86,45;94,54;97,62;98,26;14,88
Seritinga (MG);Município;316640;91,84;98,13;100;100;17,25
Serra Azul de Minas (MG);Município;316650;65,74;62,74;77,11;93,92;30,58
Serra da Saudade (MG);Município;316660;94,12;100;100;97,48;7,93
Serra dos Aimorés (MG);Município;316670;94,5;92,8;83,7;98,7;21,84
Serra do Salitre (MG);Município;316680;94,37;98,21;99,11;99,03;19,44
Serrania (MG);Município;316690;98,88;98,37;99,39;99,61;26,76
Serranópolis de Minas (MG);Município;316695;53,73;65,1;99,27;98,26;21,13
Serranos (MG);Município;316700;91,65;98,07;97,83;99,01;17,35
Serro (MG);Município;316710;78,1;80,96;83,28;96,39;28,63
Sete Lagoas (MG);Município;316720;99;96,49;98,76;99,93;19,02
Setubinha (MG);Município;316555;68,39;45,94;66,73;95,3;37,42
Silveirânia (MG);Município;316730;92,93;99,61;93,28;99,34;10,86
Silvianópolis (MG);Município;316740;92,99;99,75;100;99,59;15,43
Simão Pereira (MG);Município;316750;94,3;98,6;100;100;26,93
Simonésia (MG);Município;316760;81,66;88,94;97,5;99,82;14,68
Sobrália (MG);Município;316770;97,48;97,61;95,21;99,95;15,7
Soledade de Minas (MG);Município;316780;84,59;98,88;99,75;99,82;21,09
Tabuleiro (MG);Município;316790;92,92;98,58;96,98;100;11,04
Taiobeiras (MG);Município;316800;92,91;87,39;98,28;98,95;16,91
Taparuba (MG);Município;316805;89,84;90,42;96,22;97,31;13,87
Tapira (MG);Município;316810;91,69;97,31;89,52;99,4;10,46
Tapiraí (MG);Município;316820;86,6;95,65;98,59;98,23;14,73
Taquaraçu de Minas (MG);Município;316830;75,47;83,48;92,96;99,65;27,05
Tarumirim (MG);Município;316840;89,98;89,85;96,72;98,91;15,94
Teixeiras (MG);Município;316850;96,76;98,25;97,77;99,7;14,28
Teófilo Otoni (MG);Município;316860;94,78;90,27;96,72;98,78;26,27
Timóteo (MG);Município;316870;96,25;97,76;98,9;99,91;15,3
Tiradentes (MG);Município;316880;97,66;98,85;99,89;99,39;18,28
Tiros (MG);Município;316890;89,51;97,79;99,18;99,54;6,72
Tocantins (MG);Município;316900;98,12;99,31;98,97;99,81;13,26
Tocos do Moji (MG);Município;316905;75,93;99,21;100;99,67;10,18
Toledo (MG);Município;316910;81,95;96,68;100;99,83;19,95
Tombos (MG);Município;316920;93,47;99,58;99,19;99,79;13,64
Três Corações (MG);Município;316930;98,66;98,75;99,77;99,76;21,68
Três Marias (MG);Município;316935;96,82;97,83;97,24;98,91;18,9
Três Pontas (MG);Município;316940;98,36;98,69;99,5;99,99;18,79
Tumiritinga (MG);Município;316950;94,26;80,55;91,21;97,7;24
Tupaciguara (MG);Município;316960;97,67;98,43;98,6;99,6;12,93
Turmalina (MG);Município;316970;80,9;88,21;97,56;99,44;18,34
Turvolândia (MG);Município;316980;89,93;98,38;99,77;98,93;18,34
Ubá (MG);Município;316990;98,45;98,98;98,35;99,85;17,85
Ubaí (MG);Município;317000;90,46;58,47;83,53;97,72;32,85
Ubaporanga (MG);Município;317005;83,35;99,17;90,63;99,47;19,82
Uberaba (MG);Município;317010;98,9;98,09;99,75;99,85;15,06
Uberlândia (MG);Município;317020;99,52;98,97;99,85;99,92;14,5
Umburatiba (MG);Município;317030;94,15;78,73;99,55;98,33;22,97
Unaí (MG);Município;317040;92,37;95,27;98,68;97,34;15,83
União de Minas (MG);Município;317043;86,1;99,29;98,89;99,67;13,75
Uruana de Minas (MG);Município;317047;76,74;90,06;99,5;93,99;13,45
Urucânia (MG);Município;317050;88,08;97,32;90,64;99,3;27,26
Urucuia (MG);Município;317052;69,3;66,85;96,06;89,57;35,68
Vargem Alegre (MG);Município;317057;89,99;97,49;94,99;99,55;18,47
Vargem Bonita (MG);Município;317060;90,23;98,58;99,7;98,92;14,73
Vargem Grande do Rio Pardo (MG);Município;317065;61,05;75,25;88,58;96,62;18,35
Varginha (MG);Município;317070;99,4;98,42;99,88;99,97;18,11
Varjão de Minas (MG);Município;317075;92,2;97,62;99,76;98,36;15,66
Várzea da Palma (MG);Município;317080;95,04;85,76;97,24;99,13;26,52
Varzelândia (MG);Município;317090;86,33;66,33;67,62;98,34;37,32
Vazante (MG);Município;317100;94,74;95,69;99,05;99,85;9,59
Verdelândia (MG);Município;317103;81,63;59,85;95,64;95,35;40,46
Veredinha (MG);Município;317107;76,96;74,82;94,88;98,21;17,64
Veríssimo (MG);Município;317110;90,1;92,65;100;97,77;21,41
Vermelho Novo (MG);Município;317115;87,9;83,58;99,19;99,93;13,65
Vespasiano (MG);Município;317120;99,59;96,91;95,66;99,96;27,95
Viçosa (MG);Município;317130;98,3;99,13;98,58;99,9;12,58
Vieiras (MG);Município;317140;79,21;99,93;99,17;99,92;15,93
Virgem da Lapa (MG);Município;317160;68,79;73,82;93,92;97,59;21,3
Virgínia (MG);Município;317170;76,37;97,49;100;99,61;17,23
Virginópolis (MG);Município;317180;92,4;86,54;96,07;98,51;14,42
Virgolândia (MG);Município;317190;82,14;85,41;80,1;96,51;20,31
Visconde do Rio Branco (MG);Município;317200;97,02;98,08;99,44;99,9;16,18
Volta Grande (MG);Município;317210;97,13;100;95,86;99,87;28,99
Wenceslau Braz (MG);Município;317220;44,96;83,33;100;99,52;12,39
Água Clara (MS);Município;500020;90,59;98,32;99,32;99,75;29,23
Alcinópolis (MS);Município;500025;94,9;95,62;94,89;99,66;21,66
Amambai (MS);Município;500060;90,79;81,08;98,83;90,67;28,72
Anastácio (MS);Município;500070;96,03;90,91;95,85;99,36;30,94
Anaurilândia (MS);Município;500080;84,52;92,51;99,66;94,63;25,25
Angélica (MS);Município;500085;93,09;97,96;89,46;99,57;21,46
Antônio João (MS);Município;500090;89,52;87,98;91,34;91,6;36,33
Aparecida do Taboado (MS);Município;500100;99,23;97,7;99,79;99,9;20,48
Aquidauana (MS);Município;500110;93,76;87,41;96,88;97,86;32,63
Aral Moreira (MS);Município;500124;94,35;79,76;98,43;95,61;35,06
Bandeirantes (MS);Município;500150;99,1;96,33;96,22;99,23;18,52
Bataguassu (MS);Município;500190;93,99;98,68;99,02;99,77;24,83
Batayporã (MS);Município;500200;96,57;92,76;98,68;98,91;20,03
Bela Vista (MS);Município;500210;94,47;92,59;90,66;98,18;29,96
Bodoquena (MS);Município;500215;90,53;96,87;97,82;99,72;26,19
Bonito (MS);Município;500220;95,54;95,93;99,51;99,78;28,73
Brasilândia (MS);Município;500230;95,76;99,21;99,04;99,57;20,29
Caarapó (MS);Município;500240;94,54;81,49;99,31;95,09;30,37
Camapuã (MS);Município;500260;97,49;97,71;97,39;99,9;18,63
Campo Grande (MS);Município;500270;99,3;97,21;99,8;99,9;20,7
Caracol (MS);Município;500280;88,97;97,85;99,94;98,28;28,03
Cassilândia (MS);Município;500290;98,03;98,98;99,64;99,84;10,28
Chapadão do Sul (MS);Município;500295;96,47;95,58;98,87;99,95;22,53
Corguinho (MS);Município;500310;91,43;90,51;98,49;91,12;21,74
Coronel Sapucaia (MS);Município;500315;93,96;74;98,1;88,94;44,51
Corumbá (MS);Município;500320;93,32;85,15;97,62;97,47;47,67
Costa Rica (MS);Município;500325;95,47;98,71;99,81;99,85;19,59
Coxim (MS);Município;500330;96,1;97,32;97,22;99,62;21,14
Deodápolis (MS);Município;500345;98,12;95,97;94,4;99,26;18,08
Dois Irmãos do Buriti (MS);Município;500348;97,93;89,92;98,95;97,38;31,75
Douradina (MS);Município;500350;95,12;81,66;98,95;95,11;31,21
Dourados (MS);Município;500370;98,57;93,6;99,13;99,49;21,36
Eldorado (MS);Município;500375;87,39;93,4;98,32;98,49;20,1
Fátima do Sul (MS);Município;500380;99,34;97,07;98,38;99,93;13,16
Figueirão (MS);Município;500390;95,85;98,36;100;99,11;15,21
Glória de Dourados (MS);Município;500400;95,24;98,1;99,55;99,85;13,77
Guia Lopes da Laguna (MS);Município;500410;98,81;94,13;95,8;99,74;29,31
Iguatemi (MS);Município;500430;94,13;96,14;97,9;99,03;23,63
Inocência (MS);Município;500440;90,85;98,78;97,09;99,11;14,17
Itaporã (MS);Município;500450;97,73;82,53;98,41;95,01;30,9
Itaquiraí (MS);Município;500460;80,53;92,03;99,11;96,16;21,75
Ivinhema (MS);Município;500470;91,02;94,84;96,98;99,96;15,55
Japorã (MS);Município;500480;79,89;46,02;93,91;77,47;56,89
Jaraguari (MS);Município;500490;89,12;96,73;98,62;98,48;23,28
Jardim (MS);Município;500500;96,71;96,14;98,52;99,47;26,17
Jateí (MS);Município;500510;81,38;98,05;100;100;15,86
Juti (MS);Município;500515;91,89;86,08;94,95;93,76;29,54
Ladário (MS);Município;500520;94,79;87,29;93,25;99,45;48,38
Laguna Carapã (MS);Município;500525;96,64;84,86;95,34;93,53;28,31
Maracaju (MS);Município;500540;97,93;93,32;98,72;98,74;30,04
Miranda (MS);Município;500560;84,87;76,45;98,28;98,66;39,99
Mundo Novo (MS);Município;500568;92,5;97,95;98,2;99,87;17,37
Naviraí (MS);Município;500570;98,83;95,87;99,71;99,72;22,74
Nioaque (MS);Município;500580;93,31;88,78;94,13;98,34;28,83
Nova Alvorada do Sul (MS);Município;500600;96,42;98,48;99,2;98,78;29,78
Nova Andradina (MS);Município;500620;93,88;98,53;99,61;98,04;19,32
Novo Horizonte do Sul (MS);Município;500625;67,61;98,73;99,51;99,88;18,45
Paranaíba (MS);Município;500630;99,02;97,23;97,83;99,87;16,62
Paranhos (MS);Município;500635;70,18;65,63;96,69;70,97;56,07
Pedro Gomes (MS);Município;500640;93,53;95,67;98,03;99,26;20,44
Ponta Porã (MS);Município;500660;92,84;91,15;95,93;99,2;27,91
Porto Murtinho (MS);Município;500690;88,11;79,91;99,39;97,73;47,27
Ribas do Rio Pardo (MS);Município;500710;89,06;96,01;99,48;99,66;28,08
Rio Brilhante (MS);Município;500720;96,95;96,52;96,03;99,47;28,57
Rio Negro (MS);Município;500730;94,84;96,57;94,67;98,53;20,67
Rio Verde de Mato Grosso (MS);Município;500740;93,09;98,23;97,66;99,55;21,69
Rochedo (MS);Município;500750;95,55;98,46;96,48;99,28;20,04
Santa Rita do Pardo (MS);Município;500755;92,25;89,86;98,97;98,33;23,2
São Gabriel do Oeste (MS);Município;500769;98,95;99,25;98,08;100;18,89
Selvíria (MS);Município;500780;90,55;90,94;96,93;98,26;24,06
Sete Quedas (MS);Município;500770;96,44;88,47;90,22;95,75;27,66
Sidrolândia (MS);Município;500790;89,85;92,7;97,45;95,89;30,28
Sonora (MS);Município;500793;94,9;94,93;99,53;99,69;30,61
Tacuru (MS);Município;500795;81,99;64,53;99,33;81,35;44,45
Taquarussu (MS);Município;500797;95,83;98,25;99,25;98,83;13,4
Terenos (MS);Município;500800;95,38;87,15;99,43;94,7;27,68
Três Lagoas (MS);Município;500830;98,65;97,43;99,21;99,67;23,7
Vicentina (MS);Município;500840;97,81;96,37;97,37;99,8;16,03
Acorizal (MT);Município;510010;81,91;82,98;96,76;99,24;35,91
Água Boa (MT);Município;510020;96,17;97,42;99,84;98,14;19,64
